episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3901, 2318.686452150345, 1, 1.2477841209999951, 30, 1657588,                                                 1000000, 13.877001762390137, 200.56076049804688
3902, 2224.306745558977, 1, 9.327539360999992, 254, 1657842,                                                 1000000, 15.253369331359863, 206.8189239501953
3903, -4195.67423582077, 2, 13.760001125000002, 379, 1658221,                                                 1000000, 15.083635330200195, 208.2938690185547
3904, 2080.812525689602, 1, 11.123040979999985, 297, 1658518,                                                 1000000, 15.791620254516602, 209.27293395996094
3905, 1627.7671721875668, 1, 18.950184820999993, 510, 1659028,                                                 1000000, 15.093141555786133, 205.68414306640625
3906, 1804.9607929736376, 1, 16.16276861, 445, 1659473,                                                 1000000, 14.971376419067383, 208.5310516357422
3907, 1757.633172005415, 1, 19.954303772999992, 542, 1660015,                                                 1000000, 16.59328269958496, 205.11758422851562
3908, 1011.0648900270462, 1, 22.169077259000005, 596, 1660611,                                                 1000000, 16.109291076660156, 208.18540954589844
3909, -1291.6137913763523, 1, 23.778074567999965, 641, 1661252,                                                 1000000, 16.120079040527344, 207.8575897216797
3910, -6685.20283395052, 3, 36.40500806599999, 985, 1662237,                                                 1000000, 15.7932767868042, 206.49342346191406
3911, -2527.6200874447823, 3, 9.13083741700001, 240, 1662477,                                                 1000000, 16.214996337890625, 205.51046752929688
3912, 2259.353103220463, 1, 8.122282719999987, 215, 1662692,                                                 1000000, 15.311720848083496, 206.59466552734375
3913, 1510.4969201982021, 1, 17.345345463, 466, 1663158,                                                 1000000, 16.00285530090332, 208.0022735595703
3914, 81.81838139891624, 1, 16.768015296999977, 457, 1663615,                                                 1000000, 15.609421730041504, 205.8728790283203
3915, -3324.646420121193, 2, 17.33947137299998, 466, 1664081,                                                 1000000, 15.70145034790039, 205.6971435546875
3916, 1858.079216182232, 1, 11.353194524999992, 304, 1664385,                                                 1000000, 15.525846481323242, 206.49839782714844
3917, -3722.3798857927322, 2, 11.931844933999969, 317, 1664702,                                                 1000000, 15.343049049377441, 205.48365783691406
3918, 2318.4248573184013, 1, 8.147566040000015, 214, 1664916,                                                 1000000, 14.857563018798828, 205.47190856933594
3919, -984.0176884531975, 1, 28.17065017699997, 751, 1665667,                                                 1000000, 15.969722747802734, 208.47093200683594
3920, 2212.022241830826, 1, 8.926852088000032, 241, 1665908,                                                 1000000, 16.29265594482422, 204.773193359375
3921, -2971.440619111061, 2, 3.516608053000027, 88, 1665996,                                                 1000000, 17.704198837280273, 204.55958557128906
3922, 2190.3648425340652, 1, 6.316417187999946, 162, 1666158,                                                 1000000, 16.59418296813965, 202.20803833007812
3923, 1847.2923601865768, 1, 19.57013176099997, 418, 1666576,                                                 1000000, 15.359058380126953, 205.8334197998047
3924, 1119.3302592039108, 1, 20.173098968999966, 518, 1667094,                                                 1000000, 15.362375259399414, 205.98193359375
3925, 1693.9844938218594, 1, 14.338995909000005, 362, 1667456,                                                 1000000, 15.545924186706543, 202.8448028564453
3926, -3473.2042986154556, 3, 18.95598703199994, 481, 1667937,                                                 1000000, 15.504789352416992, 205.31430053710938
3927, 611.3264399170876, 1, 13.362473237000017, 342, 1668279,                                                 1000000, 15.149367332458496, 208.23558044433594
3928, -4299.405721306801, 3, 16.940600570000015, 425, 1668704,                                                 1000000, 14.95132827758789, 206.6640625
3929, -1041.6305474340916, 1, 31.406450256000085, 797, 1669501,                                                 1000000, 15.283714294433594, 207.31275939941406
3930, -4535.086043834686, 2, 12.335549078999975, 298, 1669799,                                                 1000000, 15.887744903564453, 205.72183227539062
3931, 2422.715501844883, 1, 4.316030099000045, 106, 1669905,                                                 1000000, 15.402669906616211, 211.37322998046875
3932, -4071.597753971815, 2, 26.19701700600001, 660, 1670565,                                                 1000000, 14.976395606994629, 204.4400634765625
3933, -526.0283030867577, 5, 9.921659569999974, 248, 1670813,                                                 1000000, 14.881625175476074, 206.4939422607422
