episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
10201, 2458.110073506832, 1, 1.7916916710000237, 42, 3856829,                                                 1000000, 16.257314682006836, 150.67117309570312
10202, 2006.6112702190876, 1, 10.939342313999987, 248, 3857077,                                                 1000000, 15.967733383178711, 150.58897399902344
10203, 1223.9816661179066, 1, 16.74870019299999, 393, 3857470,                                                 1000000, 15.65483283996582, 149.96363830566406
10204, 1121.0053806304932, 1, 17.750639819000014, 460, 3857930,                                                 1000000, 15.266599655151367, 150.7894287109375
10205, 1029.0565316081047, 1, 29.988292495000053, 807, 3858737,                                                 1000000, 16.126420974731445, 150.8013916015625
10206, 1278.1177629828453, 1, 9.767644361999942, 238, 3858975,                                                 1000000, 14.512676239013672, 151.08433532714844
10207, 1368.0310595929623, 1, 10.729177909999976, 261, 3859236,                                                 1000000, 16.025144577026367, 150.71754455566406
10208, -3994.2394564151764, 3, 11.545995737999988, 309, 3859545,                                                 1000000, 16.633024215698242, 151.2086944580078
10209, 1841.1844023019075, 1, 15.34778033200007, 393, 3859938,                                                 1000000, 16.202089309692383, 151.69195556640625
10210, -990.2222838103771, 1, 27.975151568, 761, 3860699,                                                 1000000, 16.41318130493164, 151.59640502929688
