episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2001, 2107.000848531723, 1, 13.226692651999656, 348, 828314,                                                 1000000, 15.497523307800293, 185.7161865234375
2002, 873.8608718514442, 1, 30.37492741799997, 816, 829130,                                                 1000000, 15.487347602844238, 185.48255920410156
2003, -4575.5839130580425, 1, 46.23046222299945, 1252, 830382,                                                 1000000, 15.211617469787598, 187.08399963378906
2004, 1399.1982995569706, 1, 13.547862919000181, 366, 830748,                                                 1000000, 14.824710845947266, 186.89674377441406
2005, 1049.452270001173, 1, 20.54894824999974, 563, 831311,                                                 1000000, 16.11797523498535, 186.09750366210938
2006, 1218.0351150333881, 1, 21.984829433000414, 605, 831916,                                                 1000000, 15.482007026672363, 186.0970916748047
2007, 618.2325713038445, 1, 20.559859889999643, 560, 832476,                                                 1000000, 15.663553237915039, 186.6717071533203
2008, 1772.6657533347607, 1, 14.558422666000297, 398, 832874,                                                 1000000, 15.886496543884277, 187.42160034179688
2009, -2760.402177095413, 2, 8.525275324000177, 220, 833094,                                                 1000000, 15.241717338562012, 186.35182189941406
2010, 566.3477666079998, 1, 11.745569188000445, 311, 833405,                                                 1000000, 15.584914207458496, 185.4437255859375
2011, -1818.9865274429321, 1, 32.407929795999735, 848, 834253,                                                 1000000, 15.67839527130127, 187.71929931640625
2012, 196.90639957785606, 1, 32.19977848100007, 861, 835114,                                                 1000000, 15.719493865966797, 186.12660217285156
2013, -4550.319170355797, 2, 17.745570993, 467, 835581,                                                 1000000, 16.38446044921875, 185.20533752441406
2014, -1933.677791312337, 1, 42.82822836299965, 1140, 836721,                                                 1000000, 15.226807594299316, 186.00454711914062
2015, -5432.519286155701, 1, 48.423796992999996, 1274, 837995,                                                 1000000, 15.182428359985352, 185.69566345214844
2016, 1350.294018149376, 1, 29.002485189000254, 770, 838765,                                                 1000000, 15.295639991760254, 185.3760986328125
2017, 979.2600544095039, 1, 22.76402762700036, 596, 839361,                                                 1000000, 15.103907585144043, 185.85385131835938
2018, -5328.48964625597, 3, 23.762832738000725, 625, 839986,                                                 1000000, 15.487356185913086, 185.94195556640625
2019, 1763.0041744709015, 1, 12.759081579999474, 332, 840318,                                                 1000000, 15.509475708007812, 183.08657836914062
2020, 1726.6411195397377, 1, 19.350433773000077, 503, 840821,                                                 1000000, 14.909868240356445, 184.28778076171875
2021, -7133.555339604616, 3, 37.016231391000474, 976, 841797,                                                 1000000, 15.10879135131836, 185.25942993164062
2022, 2165.1759075522423, 1, 9.722236956000415, 251, 842048,                                                 1000000, 15.506773948669434, 185.09848022460938
2023, -3512.281133532524, 3, 10.345609361999777, 267, 842315,                                                 1000000, 15.886798858642578, 185.1109619140625
2024, 1903.0861029177904, 1, 13.942886480000197, 366, 842681,                                                 1000000, 16.429439544677734, 184.33920288085938
2025, 1185.6725904345512, 1, 19.171952714000327, 509, 843190,                                                 1000000, 14.949203491210938, 184.9437255859375
2026, 1698.5458110570908, 1, 16.763843983999323, 435, 843625,                                                 1000000, 15.830526351928711, 183.34353637695312
2027, 2230.310762345791, 1, 8.923906336999607, 233, 843858,                                                 1000000, 15.277510643005371, 183.9953155517578
2028, 1073.8952171504498, 1, 20.58269406599993, 547, 844405,                                                 1000000, 15.575868606567383, 183.1599884033203
2029, -3545.510179758072, 2, 7.521735451000495, 191, 844596,                                                 1000000, 15.05272388458252, 184.7678985595703
2030, 2104.2233275175095, 1, 6.721144424000158, 169, 844765,                                                 1000000, 14.792682647705078, 184.87332153320312
2031, -2406.6405685544014, 3, 4.331118969999807, 112, 844877,                                                 1000000, 15.87319278717041, 182.4564208984375
2032, 602.7313457727432, 1, 26.77223106099973, 707, 845584,                                                 1000000, 14.911927223205566, 186.15664672851562
2033, 919.1867791414261, 1, 21.98418109800059, 588, 846172,                                                 1000000, 15.173622131347656, 182.76397705078125
