episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1401, 2400.4182920455933, 1, 1.2414522350009065, 30, 591803,                                                 1000000, 12.714529037475586, 165.54542541503906
1402, -3011.973433494568, 2, 8.141279067000141, 238, 592041,                                                 1000000, 13.719176292419434, 165.56527709960938
1403, 2123.696177840233, 1, 10.319364511997264, 280, 592321,                                                 1000000, 15.204734802246094, 168.13771057128906
1404, 742.8080901503563, 1, 19.96671935699851, 559, 592880,                                                 1000000, 14.196738243103027, 168.11021423339844
1405, -5723.672422170639, 3, 15.339335032000236, 437, 593317,                                                 1000000, 14.984245300292969, 166.5786590576172
1406, -2847.7414389252663, 3, 10.754178786999546, 307, 593624,                                                 1000000, 14.950499534606934, 167.8826141357422
1407, 790.2251600623131, 1, 22.557376744000067, 644, 594268,                                                 1000000, 14.231677055358887, 166.51136779785156
1408, 1374.4167194217443, 1, 9.928649371002393, 277, 594545,                                                 1000000, 13.505121231079102, 163.68434143066406
1409, 1982.5811776816845, 1, 15.541461362001428, 441, 594986,                                                 1000000, 13.6869478225708, 165.1399383544922
1410, 1792.5830032229424, 1, 10.745469919998868, 290, 595276,                                                 1000000, 13.867521286010742, 164.4215850830078
1411, 2157.7263635396957, 1, 8.319773769999301, 236, 595512,                                                 1000000, 13.439106941223145, 166.58250427246094
1412, 1845.4074412584305, 1, 11.945316643003025, 338, 595850,                                                 1000000, 14.857068061828613, 166.6999969482422
1413, -7631.20385235548, 2, 25.366193666999607, 730, 596580,                                                 1000000, 13.617897987365723, 165.6436004638672
1414, -2633.7313470840454, 2, 5.129887622999377, 149, 596729,                                                 1000000, 13.440876960754395, 164.95106506347656
1415, 2356.435525417328, 1, 4.313199475000147, 117, 596846,                                                 1000000, 14.293937683105469, 164.1011505126953
1416, 1001.984094619751, 1, 21.981443176002358, 631, 597477,                                                 1000000, 14.176380157470703, 164.51229858398438
1417, -3259.205456018448, 2, 17.54328900699693, 505, 597982,                                                 1000000, 12.960679054260254, 165.8280487060547
1418, 2352.6907705664635, 1, 4.514228601998184, 123, 598105,                                                 1000000, 13.794755935668945, 165.90611267089844
1419, -3245.8670204281807, 2, 11.34572299499996, 324, 598429,                                                 1000000, 12.91846752166748, 165.49851989746094
1420, 1784.4033646583557, 1, 14.553844197002036, 419, 598848,                                                 1000000, 13.643858909606934, 165.08424377441406
1421, -3945.9264348745346, 2, 22.561016731000564, 639, 599487,                                                 1000000, 13.881476402282715, 165.4366455078125
1422, 853.8997700810432, 1, 26.9729935869982, 767, 600254,                                                 1000000, 13.517860412597656, 165.0958709716797
