episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
9401, 2459.0079679489136, 1, 1.8164357299974654, 38, 3612656,                                                 1000000, 19.550342559814453, 167.63882446289062
9402, 2110.4760811924934, 1, 11.529319870998734, 284, 3612940,                                                 1000000, 16.55997657775879, 167.57339477539062
9403, 1942.4260890483856, 1, 14.942729254998994, 363, 3613303,                                                 1000000, 16.634374618530273, 166.61221313476562
9404, 2140.136338084936, 1, 9.955501242999162, 228, 3613531,                                                 1000000, 17.12253761291504, 167.1609649658203
9405, 903.291144579649, 1, 23.97813758399934, 425, 3613956,                                                 1000000, 16.387727737426758, 167.42404174804688
9406, 2326.364203751087, 1, 8.553922064002109, 140, 3614096,                                                 1000000, 18.225629806518555, 169.08236694335938
9407, -3334.4561453461647, 3, 9.535460303999571, 166, 3614262,                                                 1000000, 16.032970428466797, 167.0303955078125
9408, 2254.209219276905, 1, 6.337886525001522, 110, 3614372,                                                 1000000, 15.51971435546875, 165.1018524169922
9409, 1905.4499856233597, 1, 11.339502953000192, 181, 3614553,                                                 1000000, 17.61989974975586, 168.49578857421875
9410, 949.6294957101345, 1, 21.97106670100038, 365, 3614918,                                                 1000000, 16.276615142822266, 166.24404907226562
9411, -3095.119474887848, 2, 4.763490342000296, 85, 3615003,                                                 1000000, 17.99980354309082, 166.16836547851562
9412, -2599.9210174679756, 3, 11.534375076997094, 199, 3615202,                                                 1000000, 16.49569320678711, 167.13754272460938
9413, 2143.912190526724, 1, 10.17366472499998, 174, 3615376,                                                 1000000, 16.24518394470215, 166.51805114746094
9414, -2704.4856681525707, 1, 36.2077484879992, 621, 3615997,                                                 1000000, 15.986241340637207, 166.51023864746094
9415, -3121.7581077218056, 2, 19.396560048000538, 319, 3616316,                                                 1000000, 17.05096435546875, 165.2367401123047
9416, 2239.4836510419846, 1, 10.534352927999862, 181, 3616497,                                                 1000000, 16.87175941467285, 166.10545349121094
9417, -2343.6521718502045, 2, 2.1115730780002195, 30, 3616527,                                                 1000000, 17.717609405517578, 167.9931182861328
9418, 2075.205021455884, 1, 13.80366690899973, 242, 3616769,                                                 1000000, 16.299924850463867, 166.97677612304688
9419, -2336.8750989437103, 2, 4.334487239000737, 64, 3616833,                                                 1000000, 15.646544456481934, 168.2608642578125
9420, 2294.9443500339985, 1, 9.72943723500066, 163, 3616996,                                                 1000000, 15.559447288513184, 166.90975952148438
9421, -2292.7912888526917, 2, 2.3348723410017556, 36, 3617032,                                                 1000000, 18.813875198364258, 163.66891479492188
9422, -2359.752079486847, 3, 9.128191094998328, 151, 3617183,                                                 1000000, 17.425607681274414, 166.4608154296875
9423, -2472.05026525259, 2, 9.363838096000109, 143, 3617326,                                                 1000000, 16.54802703857422, 165.81622314453125
9424, 2018.582020998001, 1, 10.736360217997571, 186, 3617512,                                                 1000000, 14.857474327087402, 167.53822326660156
9425, 1491.1766791641712, 1, 11.377084166000714, 187, 3617699,                                                 1000000, 16.897958755493164, 165.20135498046875
9426, 2094.8220059275627, 1, 10.536066284003027, 182, 3617881,                                                 1000000, 16.65617561340332, 166.0830841064453
9427, 992.44619089365, 1, 19.410535647999495, 333, 3618214,                                                 1000000, 16.579713821411133, 166.57679748535156
9428, -3729.900451749563, 3, 21.36912757200116, 360, 3618574,                                                 1000000, 16.40536117553711, 166.5607452392578
9429, -4672.219189763069, 2, 27.5783335849992, 477, 3619051,                                                 1000000, 16.790998458862305, 166.97280883789062
9430, 2359.8729125857353, 1, 8.331325025999831, 139, 3619190,                                                 1000000, 17.024477005004883, 166.1060333251953
9431, -6026.429093122482, 4, 50.87809751900204, 880, 3620070,                                                 1000000, 16.627235412597656, 165.98873901367188
9432, 1462.1788240671158, 1, 24.42797835500096, 421, 3620491,                                                 1000000, 17.15494728088379, 166.78952026367188
9433, 2010.954032331705, 1, 20.569859520997852, 361, 3620852,                                                 1000000, 17.046602249145508, 166.2315216064453
9434, 2003.6443364620209, 1, 16.754964753999957, 287, 3621139,                                                 1000000, 17.663183212280273, 165.8929901123047
9435, -2743.526005268097, 3, 13.140429898001457, 225, 3621364,                                                 1000000, 16.95554542541504, 165.7714080810547
9436, 2359.641013622284, 1, 8.331147699998837, 133, 3621497,                                                 1000000, 16.923891067504883, 165.70318603515625
9437, -2460.0779962539673, 2, 3.3171753179994994, 51, 3621548,                                                 1000000, 17.204299926757812, 164.27223205566406
9438, -2569.8565730452538, 2, 8.932017859002372, 152, 3621700,                                                 1000000, 18.58140754699707, 167.24456787109375
9439, 2081.954912543297, 1, 10.531242018998455, 183, 3621883,                                                 1000000, 17.191577911376953, 165.67529296875
9440, -229.9170114994049, 1, 27.01810794600169, 465, 3622348,                                                 1000000, 15.940054893493652, 166.71241760253906
9441, -2588.966858148575, 2, 2.909198409997771, 47, 3622395,                                                 1000000, 16.287450790405273, 166.2783660888672
9442, -2307.1796538233757, 3, 8.927610732000176, 149, 3622544,                                                 1000000, 15.905346870422363, 167.4447479248047
9443, -2542.3926310241222, 3, 10.778328974000033, 182, 3622726,                                                 1000000, 15.861342430114746, 166.1197509765625
9444, -3200.5058428645134, 2, 9.527550398997846, 165, 3622891,                                                 1000000, 16.77431869506836, 167.2954864501953
9445, -2371.2651892900467, 2, 9.134613893998903, 139, 3623030,                                                 1000000, 17.371517181396484, 167.61062622070312
9446, -2608.4221514463425, 2, 9.736065220000455, 155, 3623185,                                                 1000000, 16.26473045349121, 165.6175079345703
9447, 2372.3744063675404, 1, 8.35568267599956, 144, 3623329,                                                 1000000, 18.237781524658203, 164.96051025390625
9448, 2022.9366565942764, 1, 15.761316350002744, 268, 3623597,                                                 1000000, 16.7716121673584, 166.02940368652344
9449, 1950.9712324142456, 1, 22.5915322380024, 386, 3623983,                                                 1000000, 16.40926742553711, 166.43896484375
9450, 623.2933949232101, 1, 17.358802842998557, 289, 3624272,                                                 1000000, 17.329980850219727, 166.0307159423828
9451, -3087.3567744493484, 3, 9.3349978260012, 158, 3624430,                                                 1000000, 16.362506866455078, 165.4441680908203
9452, -2538.3378717303276, 2, 9.937644387999171, 166, 3624596,                                                 1000000, 18.19727325439453, 166.6575164794922
9453, 966.3764141798019, 1, 13.569641997000872, 241, 3624837,                                                 1000000, 16.327190399169922, 164.5213623046875
9454, 2123.8955332040787, 1, 11.338888590998977, 189, 3625026,                                                 1000000, 17.003631591796875, 165.47230529785156
9455, 1953.3568354249, 1, 17.56020561600235, 306, 3625332,                                                 1000000, 16.419448852539062, 165.90475463867188
