episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3001, 2092.7042415440083, 1, 13.279731777000052, 342, 1278312,                                                 1000000, 16.300153732299805, 224.2166290283203
3002, -464.52293169498444, 1, 28.97650713999974, 742, 1279054,                                                 1000000, 16.713581085205078, 221.50320434570312
3003, -2810.1195697784424, 3, 1.5090258009995523, 30, 1279084,                                                 1000000, 17.454151153564453, 218.19113159179688
3004, 1841.9492830634117, 1, 15.55877558100019, 400, 1279484,                                                 1000000, 15.597928047180176, 224.38015747070312
3005, 1199.5756784379482, 1, 27.77263917900018, 715, 1280199,                                                 1000000, 15.516676902770996, 222.88267517089844
3006, 1831.3075110316277, 1, 9.123050295000212, 226, 1280425,                                                 1000000, 17.594131469726562, 224.28811645507812
3007, 2049.8381010591984, 1, 11.751134711999839, 302, 1280727,                                                 1000000, 15.821958541870117, 226.22808837890625
3008, -3047.8257355690002, 2, 9.53114699300022, 241, 1280968,                                                 1000000, 16.142623901367188, 226.50704956054688
3009, 1723.7021623849869, 1, 15.542921255999318, 400, 1281368,                                                 1000000, 16.15538215637207, 223.06236267089844
3010, -2564.442656517029, 2, 4.5123049330004505, 110, 1281478,                                                 1000000, 16.957284927368164, 225.1942901611328
3011, -2706.154439806938, 3, 9.154647080000359, 238, 1281716,                                                 1000000, 16.1543025970459, 227.7369384765625
3012, 2253.390324473381, 1, 8.324703553999825, 203, 1281919,                                                 1000000, 17.606678009033203, 226.53414916992188
3013, 1467.952913403511, 1, 24.376076509000086, 634, 1282553,                                                 1000000, 15.776926040649414, 221.63368225097656
3014, -3068.393641471863, 2, 8.943737250000595, 217, 1282770,                                                 1000000, 14.59256649017334, 223.05320739746094
3015, 2224.4158449172974, 1, 9.742104074000054, 251, 1283021,                                                 1000000, 16.135154724121094, 226.75477600097656
3016, 139.55785557627678, 1, 20.152115807000882, 516, 1283537,                                                 1000000, 15.657516479492188, 224.4606475830078
3017, 1721.9968487024307, 1, 17.168436914999802, 441, 1283978,                                                 1000000, 15.803702354431152, 223.5752716064453
3018, -2781.741174340248, 3, 5.517590591000044, 139, 1284117,                                                 1000000, 16.752466201782227, 223.45558166503906
3019, 2153.0982210040092, 1, 9.94673893900017, 255, 1284372,                                                 1000000, 16.144821166992188, 225.7369842529297
3020, 548.2594318389893, 1, 10.33027618000051, 265, 1284637,                                                 1000000, 15.820358276367188, 224.60501098632812
3021, -2792.8887469768524, 2, 3.341861183000219, 88, 1284725,                                                 1000000, 15.218199729919434, 223.67222595214844
3022, -3935.8330738544464, 2, 10.72941506799998, 268, 1284993,                                                 1000000, 14.758309364318848, 222.14254760742188
3023, 2310.6409443616867, 1, 8.326109282000289, 206, 1285199,                                                 1000000, 15.582146644592285, 224.86767578125
3024, 983.6253187358379, 1, 14.966202479999993, 377, 1285576,                                                 1000000, 16.04964828491211, 225.16494750976562
3025, -504.6629149913788, 1, 19.768751476000034, 509, 1286085,                                                 1000000, 16.49387550354004, 221.8107452392578
3026, 383.1218276619911, 1, 14.539721666999867, 372, 1286457,                                                 1000000, 15.782307624816895, 220.7742919921875
