episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -12308.742876768112, 2, 15.15980853300016, 1252, 25288,                                                 0, 0.0, 0.0
2, -13590.298858880997, 4, 50.319738720999794, 3798, 29086,                                                 0, 0.0, 0.0
3, -6920.687515497208, 3, 13.357017777000237, 1025, 30111,                                                 0, 0.0, 0.0
4, -8036.528559684753, 3, 14.146317812999769, 1026, 31137,                                                 0, 0.0, 0.0
5, -6345.622535586357, 3, 13.574542208999901, 984, 32121,                                                 0, 0.0, 0.0
6, -8423.805510044098, 2, 13.341619940999863, 952, 33073,                                                 0, 0.0, 0.0
7, -8490.197742938995, 2, 14.949204093999924, 1121, 34194,                                                 0, 0.0, 0.0
8, -7275.797328829765, 2, 14.160272157000236, 1057, 35251,                                                 0, 0.0, 0.0
9, -10820.034227013588, 3, 27.174028793999696, 2036, 37287,                                                 0, 0.0, 0.0
10, -5862.8211669921875, 3, 14.135997476999819, 1069, 38356,                                                 0, 0.0, 0.0
11, -7552.7327880859375, 2, 12.941813163999996, 935, 39291,                                                 0, 0.0, 0.0
12, -7383.293758630753, 2, 13.141566825000154, 949, 40240,                                                 0, 0.0, 0.0
13, -8514.475645065308, 2, 13.363450265999745, 1023, 41263,                                                 0, 0.0, 0.0
14, -23903.833882570267, 2, 38.81120624599998, 2940, 44203,                                                 0, 0.0, 0.0
15, -6564.993996977806, 3, 13.559724453999934, 1063, 45266,                                                 0, 0.0, 0.0
16, -12661.922725081444, 2, 28.400538424000388, 2212, 47478,                                                 0, 0.0, 0.0
17, -5483.31190431118, 2, 13.131481758000064, 984, 48462,                                                 0, 0.0, 0.0
18, -7389.541994333267, 3, 13.943382667999686, 1043, 49505,                                                 0, 0.0, 0.0
19, -6907.107018470764, 2, 13.344455029000073, 980, 50485,                                                 0, 0.0, 0.0
20, -6013.5189526081085, 2, 8.774298483000166, 682, 51167,                                                 0, 0.0, 0.0
21, -18455.01956140995, 4, 50.440962373000275, 4034, 55201,                                                 0, 0.0, 0.0
22, -7017.316833496094, 1, 33.409674239000196, 2705, 57906,                                                 0, 0.0, 0.0
23, -10007.218286514282, 3, 33.79075362200001, 2733, 60639,                                                 0, 0.0, 0.0
24, -11946.523726940155, 3, 27.589484829999947, 2220, 62859,                                                 0, 0.0, 0.0
25, -8739.718814134598, 2, 23.162760856000205, 1852, 64711,                                                 0, 0.0, 0.0
26, -9007.297616004944, 2, 14.155966111999987, 1102, 65813,                                                 0, 0.0, 0.0
27, -6584.248548746109, 2, 13.53632417100016, 1004, 66817,                                                 0, 0.0, 0.0
28, -13808.906685709953, 4, 50.43838024899969, 3890, 70707,                                                 0, 0.0, 0.0
29, -16863.73352587223, 4, 50.235289448, 3945, 74652,                                                 0, 0.0, 0.0
30, -16439.255896806717, 4, 50.22720771000013, 3981, 78633,                                                 0, 0.0, 0.0
31, -9047.26342010498, 2, 13.538308102000428, 1048, 79681,                                                 0, 0.0, 0.0
32, -6505.825903892517, 2, 13.159953420999955, 1005, 80686,                                                 0, 0.0, 0.0
33, -16819.146332025528, 2, 26.975058465000075, 2075, 82761,                                                 0, 0.0, 0.0
34, -7763.080568194389, 3, 15.765575370000079, 1218, 83979,                                                 0, 0.0, 0.0
35, -16707.009534597397, 2, 36.39601944599963, 2795, 86774,                                                 0, 0.0, 0.0
36, -6586.073311805725, 3, 14.157168576999993, 1080, 87854,                                                 0, 0.0, 0.0
37, -9638.790847301483, 2, 21.761740073000055, 1666, 89520,                                                 0, 0.0, 0.0
38, -7516.103642702103, 3, 14.560637869999937, 1110, 90630,                                                 0, 0.0, 0.0
39, -10770.306629657745, 3, 24.565964453000106, 1909, 92539,                                                 0, 0.0, 0.0
40, -19907.199865460396, 4, 50.069464659999994, 3795, 96334,                                                 0, 0.0, 0.0
41, -7883.972035646439, 3, 15.163732371999686, 1154, 97488,                                                 0, 0.0, 0.0
42, -6614.563803195953, 2, 12.760138214999643, 966, 98454,                                                 0, 0.0, 0.0
43, -6387.784577846527, 3, 14.344853020999835, 1048, 99502,                                                 0, 0.0, 0.0
44, -6909.676398277283, 2, 10.131098706000103, 747, 100249,                                                 0, 0.0, 0.0
45, -7885.936549901962, 3, 14.588200139000037, 1094, 101343,                                                 0, 0.0, 0.0
46, -16220.719153642654, 2, 36.399647279999954, 2780, 104123,                                                 0, 0.0, 0.0
47, -8496.73502278328, 3, 14.748331140000118, 1140, 105263,                                                 0, 0.0, 0.0
48, -15873.043945908546, 2, 36.22412959099984, 2941, 108204,                                                 0, 0.0, 0.0
49, -16864.79476237297, 2, 36.99272451299976, 2957, 111161,                                                 0, 0.0, 0.0
50, -7378.31120467186, 2, 13.15305717199999, 1060, 112221,                                                 0, 0.0, 0.0
51, -6640.677055835724, 2, 9.137305458000355, 739, 112960,                                                 0, 0.0, 0.0
52, -8468.397285223007, 2, 21.95632591699996, 1767, 114727,                                                 0, 0.0, 0.0
53, -9149.122077047825, 2, 22.98100149899983, 1854, 116581,                                                 0, 0.0, 0.0
54, -13291.757807850838, 2, 35.79472587200007, 2885, 119466,                                                 0, 0.0, 0.0
55, -11537.240591526031, 2, 22.98589584499996, 1865, 121331,                                                 0, 0.0, 0.0
56, -7601.894654750824, 2, 12.535667230999934, 994, 122325,                                                 0, 0.0, 0.0
57, -17945.19403719902, 4, 49.858260391000385, 4009, 126334,                                                 0, 0.0, 0.0
58, -6245.749165534973, 2, 12.35837113999969, 958, 127292,                                                 0, 0.0, 0.0
59, -9871.391417741776, 3, 25.569285843000216, 1974, 129266,                                                 0, 0.0, 0.0
60, -6106.128182530403, 2, 12.753256805000092, 999, 130265,                                                 0, 0.0, 0.0
61, -17541.38876080513, 2, 35.79084582700034, 2794, 133059,                                                 0, 0.0, 0.0
62, -6201.714398622513, 2, 12.333939883999847, 971, 134030,                                                 0, 0.0, 0.0
63, -23978.249431967735, 4, 50.43794164500014, 3978, 138008,                                                 0, 0.0, 0.0
64, -5626.586683750153, 2, 12.137025224000354, 941, 138949,                                                 0, 0.0, 0.0
65, -8008.520760536194, 3, 14.365789221999876, 1110, 140059,                                                 0, 0.0, 0.0
66, -11009.787912487984, 2, 17.741864465000617, 1417, 141476,                                                 0, 0.0, 0.0
67, -18494.405678987503, 4, 49.85904375199971, 3919, 145395,                                                 0, 0.0, 0.0
68, -21655.4938467741, 2, 40.2122304429995, 3076, 148471,                                                 0, 0.0, 0.0
69, -15140.01064813137, 4, 50.26753908899991, 4003, 152474,                                                 0, 0.0, 0.0
70, -7478.770451784134, 3, 13.734500237000248, 1023, 153497,                                                 0, 0.0, 0.0
71, -7384.59996342659, 2, 12.790633225999954, 979, 154476,                                                 0, 0.0, 0.0
72, -14535.613880991936, 2, 35.388857425000424, 2738, 157214,                                                 0, 0.0, 0.0
73, -11908.950532197952, 2, 21.99004272699949, 1772, 158986,                                                 0, 0.0, 0.0
74, -16624.699598789215, 2, 35.19013160799932, 2802, 161788,                                                 0, 0.0, 0.0
75, -13695.502950429916, 4, 50.261980020999545, 4057, 165845,                                                 0, 0.0, 0.0
76, -9920.155563473701, 2, 22.362990560999606, 1798, 167643,                                                 0, 0.0, 0.0
77, -12401.483926296234, 2, 22.583491890000005, 1835, 169478,                                                 0, 0.0, 0.0
78, -9218.604000091553, 2, 13.132961473999785, 1045, 170523,                                                 0, 0.0, 0.0
79, -24504.21501982212, 4, 51.04938949899952, 4134, 174657,                                                 0, 0.0, 0.0
80, -17837.789521217346, 2, 37.00138465100008, 3002, 177659,                                                 0, 0.0, 0.0
81, -847.2648504972458, 1, 16.770315867000136, 1356, 179015,                                                 0, 0.0, 0.0
82, -14523.528088927269, 4, 51.23419594999996, 4155, 183170,                                                 0, 0.0, 0.0
83, -5761.182097673416, 2, 9.548598745000163, 767, 183937,                                                 0, 0.0, 0.0
84, -17516.491272449493, 2, 38.00652865000029, 3081, 187018,                                                 0, 0.0, 0.0
85, -6613.777327299118, 2, 13.73833755800024, 1092, 188110,                                                 0, 0.0, 0.0
86, -6852.185476303101, 3, 13.76265107800009, 1108, 189218,                                                 0, 0.0, 0.0
87, -18001.340195775032, 2, 28.180435309999666, 2272, 191490,                                                 0, 0.0, 0.0
88, -16466.239596128464, 2, 37.42182459800006, 3033, 194523,                                                 0, 0.0, 0.0
89, -7957.961929559708, 3, 13.558300564000092, 1092, 195615,                                                 0, 0.0, 0.0
90, -14949.18107187748, 2, 37.414892116000374, 3027, 198642,                                                 0, 0.0, 0.0
91, -8326.265045762062, 1, 23.56453015399984, 1898, 200540,                                                 0, 0.0, 0.0
92, -16433.5841960907, 2, 38.431003210999734, 3112, 203652,                                                 0, 0.0, 0.0
93, -7546.199592113495, 2, 13.956203378999817, 1131, 204783,                                                 0, 0.0, 0.0
94, -18356.163258314133, 2, 18.553962822999893, 1482, 206265,                                                 0, 0.0, 0.0
95, -8208.607150793076, 3, 14.36097362199962, 1155, 207420,                                                 0, 0.0, 0.0
96, -7211.828005552292, 2, 9.92403450799975, 773, 208193,                                                 0, 0.0, 0.0
97, -16241.54569387436, 2, 37.59697662899998, 3046, 211239,                                                 0, 0.0, 0.0
98, -10714.374973535538, 3, 13.75270898799954, 1119, 212358,                                                 0, 0.0, 0.0
99, -8182.894015014172, 3, 15.346426502000213, 1224, 213582,                                                 0, 0.0, 0.0
100, -12290.585259437561, 2, 22.98111447699921, 1858, 215440,                                                 0, 0.0, 0.0
101, -9675.862911939621, 2, 19.823547269999835, 1581, 217021,                                                 0, 0.0, 0.0
102, -7378.250715017319, 2, 13.749622282000018, 1113, 218134,                                                 0, 0.0, 0.0
103, -9409.911294698715, 2, 13.533334069000375, 1070, 219204,                                                 0, 0.0, 0.0
104, -14500.455482006073, 2, 20.772434159999648, 1685, 220889,                                                 0, 0.0, 0.0
105, -11237.537070989609, 2, 21.778543643000376, 1770, 222659,                                                 0, 0.0, 0.0
106, -7732.553962469101, 3, 14.140929586999846, 1134, 223793,                                                 0, 0.0, 0.0
107, -13172.635907888412, 3, 27.79471450300025, 2247, 226040,                                                 0, 0.0, 0.0
108, -9166.845874786377, 2, 11.129430181999851, 877, 226917,                                                 0, 0.0, 0.0
109, -13487.337945699692, 2, 23.181641600999683, 1879, 228796,                                                 0, 0.0, 0.0
110, -18375.714510917664, 2, 25.98799305600005, 2107, 230903,                                                 0, 0.0, 0.0
111, -16167.825250148773, 2, 23.97977396799979, 1947, 232850,                                                 0, 0.0, 0.0
112, -14938.740564346313, 2, 33.58833526699982, 2716, 235566,                                                 0, 0.0, 0.0
113, -7499.991118192673, 2, 17.96565052599999, 1456, 237022,                                                 0, 0.0, 0.0
114, -7751.458626747131, 2, 13.134471565999775, 1051, 238073,                                                 0, 0.0, 0.0
115, -17418.548059225082, 2, 25.782655087999956, 2091, 240164,                                                 0, 0.0, 0.0
116, -6763.997734069824, 2, 12.752258762000565, 1020, 241184,                                                 0, 0.0, 0.0
117, -15563.042842626572, 2, 36.59854006200021, 2930, 244114,                                                 0, 0.0, 0.0
118, -9108.224991559982, 2, 12.957630226999754, 1096, 245210,                                                 0, 0.0, 0.0
119, -7234.993587732315, 2, 12.935370371000317, 1062, 246272,                                                 0, 0.0, 0.0
120, -11763.35579752922, 2, 23.374840557000425, 1977, 248249,                                                 0, 0.0, 0.0
121, -15781.635689973831, 2, 34.99389116099974, 2936, 251185,                                                 0, 0.0, 0.0
122, -6987.150292634964, 2, 12.354328950999843, 1037, 252222,                                                 0, 0.0, 0.0
123, -28446.27337026596, 2, 38.806308470999284, 3266, 255488,                                                 0, 0.0, 0.0
124, -6497.88243162632, 2, 12.751829322000049, 1063, 256551,                                                 0, 0.0, 0.0
125, -8241.73344373703, 2, 12.532789665000564, 1033, 257584,                                                 0, 0.0, 0.0
126, -11433.453476667404, 2, 21.78317561699987, 1835, 259419,                                                 0, 0.0, 0.0
127, -13222.217238903046, 2, 26.388688196000658, 2183, 261602,                                                 0, 0.0, 0.0
128, -20967.97661614418, 3, 40.80735770999945, 3428, 265030,                                                 0, 0.0, 0.0
129, -8984.906461238861, 2, 12.737297106999904, 1053, 266083,                                                 0, 0.0, 0.0
130, -6583.232101559639, 2, 13.134502464999969, 1077, 267160,                                                 0, 0.0, 0.0
131, -8269.680102348328, 3, 13.335718369999995, 1101, 268261,                                                 0, 0.0, 0.0
132, -9374.27532863617, 3, 15.142748500999915, 1247, 269508,                                                 0, 0.0, 0.0
133, -14757.699174165726, 4, 50.457410469000024, 4228, 273736,                                                 0, 0.0, 0.0
134, -7943.125982046127, 2, 12.55045036499996, 1043, 274779,                                                 0, 0.0, 0.0
135, -17038.004411697388, 2, 23.159705847000623, 1932, 276711,                                                 0, 0.0, 0.0
136, -23280.74220919609, 4, 50.06055512700004, 4220, 280931,                                                 0, 0.0, 0.0
137, -6847.402640104294, 2, 13.133910203000596, 1081, 282012,                                                 0, 0.0, 0.0
138, -15300.60535132885, 2, 31.014782079000724, 2611, 284623,                                                 0, 0.0, 0.0
139, -10766.53846168518, 2, 15.746529066000221, 1315, 285938,                                                 0, 0.0, 0.0
140, -7085.5570657253265, 2, 12.959916048000196, 1055, 286993,                                                 0, 0.0, 0.0
